total_line,paired_bucket,edge_side,games,wins,losses,win_rate_pct,avg_price,ev_pct,over_wins,under_wins,avg_over_price,avg_under_price,over_ev_pct,under_ev_pct
7.5,Over 25-30 / Under 70-75,Over,2,1,1,50,26.5,88.68,1,1,26.5,73.5,88.68,-31.97
7.5,Over 35-40 / Under 60-65,Under,3,2,1,66.7,63,5.82,1,2,37,63,-9.91,5.82
7.5,Over 40-45 / Under 55-60,Over,24,13,11,54.2,43.1,25.79,13,11,43.1,56.9,25.79,-19.5
7.5,Over 45-50 / Under 50-55,Over,102,61,41,59.8,47.9,24.94,61,41,47.9,52.1,24.94,-22.88
7.5,Over 50-55 / Under 45-50,Over,153,84,69,54.9,52.3,4.99,84,69,52.3,47.7,4.99,-5.47
7.5,Over 55-60 / Under 40-45,Over,81,48,33,59.3,56.9,4.21,48,33,56.9,43.1,4.21,-5.55
7.5,Over 60-65 / Under 35-40,Over,35,23,12,65.7,62.4,5.38,23,12,62.4,37.6,5.38,-8.92
7.5,Over 65-70 / Under 30-35,Over,14,12,2,85.7,67.2,27.52,12,2,67.2,32.8,27.52,-56.43
7.5,Over 70-75 / Under 25-30,Over,10,10,0,100,71.6,39.76,10,0,71.6,28.5,39.76,-100
8.5,Over 25-30 / Under 70-75,Under,1,1,0,100,72,38.89,0,1,28,72,-100,38.89
8.5,Over 30-35 / Under 65-70,Over,2,1,1,50,33.5,49.25,1,1,33.5,66.5,49.25,-24.81
8.5,Over 35-40 / Under 60-65,Over,26,11,15,42.3,38.2,10.89,11,15,38.2,61.8,10.89,-6.72
8.5,Over 40-45 / Under 55-60,Over,141,63,78,44.7,43,3.86,63,78,43,57,3.86,-2.91
8.5,Over 45-50 / Under 50-55,Under,244,140,104,57.4,52.6,9.02,104,140,47.4,52.6,-10.03,9.02
8.5,Over 50-55 / Under 45-50,Under,112,54,58,48.2,48.1,0.15,58,54,51.9,48.1,-0.13,0.15
8.5,Over 55-60 / Under 40-45,Over,39,24,15,61.5,56.5,8.89,24,15,56.5,43.5,8.89,-11.56
8.5,Over 60-65 / Under 35-40,Over,13,12,1,92.3,62,48.98,12,1,62,38,48.98,-79.78
8.5,Over 65-70 / Under 30-35,Over,6,5,1,83.3,67.4,23.61,5,1,67.4,32.6,23.61,-48.85
8.5,Over 70-75 / Under 25-30,Under,1,1,0,100,29.5,238.98,0,1,70.5,29.5,-100,238.98
9.5,Over 15-20 / Under 80-85,Under,1,1,0,100,81,23.46,0,1,19,81,-100,23.46
9.5,Over 20-25 / Under 75-80,Over,1,1,0,100,24.5,308.16,1,0,24.5,75.5,308.16,-100
9.5,Over 25-30 / Under 70-75,Over,19,7,12,36.8,28.2,30.72,7,12,28.2,71.8,30.72,-12.06
9.5,Over 30-35 / Under 65-70,Under,72,50,22,69.4,67.3,3.18,22,50,32.7,67.3,-6.54,3.18
9.5,Over 35-40 / Under 60-65,Over,99,37,62,37.4,37.3,0.3,37,62,37.3,62.7,0.3,-0.18
9.5,Over 40-45 / Under 55-60,Over,91,41,50,45.1,42.6,5.78,41,50,42.6,57.4,5.78,-4.3
9.5,Over 45-50 / Under 50-55,Over,70,41,29,58.6,47.1,24.24,41,29,47.1,52.9,24.24,-21.64
9.5,Over 50-55 / Under 45-50,Over,25,14,11,56,52,7.61,14,11,52,48,7.61,-8.26
9.5,Over 55-60 / Under 40-45,Over,6,4,2,66.7,57.1,16.79,4,2,57.1,42.9,16.79,-22.33
9.5,Over 60-65 / Under 35-40,Over,3,2,1,66.7,61.5,8.4,2,1,61.5,38.5,8.4,-13.42
9.5,Over 70-75 / Under 25-30,Over,1,1,0,100,70.5,41.84,1,0,70.5,29.5,41.84,-100
